n,Ford-Fulkerson,Push-Relabel,Flot Min-Cout
10,9.980000000009426e-05,0.0008032999999999,0.0002480999999999
10,0.0001106999999999,0.0009347,0.0002093
10,0.0001563999999999,0.000267,0.0005062999999999
10,0.0001276999999999,0.0003639999999999,0.0003163
10,9.670000000006064e-05,0.0001508999999999,0.0003568999999999
10,9.539999999996772e-05,0.0008886999999999,0.0001855
10,9.919999999996598e-05,0.0001581999999999,0.0001228999999999
10,9.359999999991596e-05,0.0012107,0.0003163999999999
10,7.769999999995836e-05,0.001506,0.0008038
10,0.0002223,0.0021393999999999,0.0008475
10,0.0002559999999999,0.0017415,0.0007779999999999
10,0.0001378999999999,0.0021851999999999,0.0001191999999999
10,0.0001735999999999,0.002044,0.0005465999999999
20,0.0004508,0.0129152999999999,0.0066274
20,0.0006220999999999,0.0178947999999999,0.0028704999999999
20,0.0004568,0.0005958999999999,0.0026853
20,0.0001796,0.000591,0.0018078999999999
20,0.0003085999999999,0.0121996,0.0039616
20,0.0002714999999999,0.0005197,0.0040622
20,0.000373,0.0081904999999999,0.0048821
20,0.0003338,0.000811,0.0072662999999999
20,0.0003534,0.0006985999999999,0.0034655999999999
20,0.0004182,0.0132237,0.0049499
20,0.0003952,0.0122503999999999,0.0036568
20,0.0004368999999999,0.0007709999999999,0.0035161999999999
20,0.0004732,0.0010171999999999,0.0064908999999999
20,0.0003554999999999,0.0143807,0.0022653999999999
20,0.0007358,0.0015793,0.0051864
20,0.0005541,0.0107020999999999,0.0041535999999999
20,0.0006072999999999,0.001612,0.0064068999999999
20,0.0005536999999999,0.0007827,0.0059332
20,0.0004588999999999,0.0141436999999999,0.002886
20,0.0005235999999999,0.0013832,0.0043455
20,0.0007405999999999,0.0107744999999999,0.0043554
20,0.0003723999999999,0.0111255999999999,0.0041868
20,0.0002234999999999,0.0008103,0.0019222999999999
20,0.0006046999999999,0.0151841,0.0084701
20,0.0004486,0.0008668,0.0036869
20,0.0010203999999999,0.0027871999999999,0.0048805999999999
20,0.0005952,0.0007966,0.0056403999999999
20,0.0003204999999999,0.0134341,0.0041201
20,0.0005236,0.0007253,0.0062601000000001
20,0.0004351,0.010027,0.0045732
20,0.0004110999999999,0.0116334,0.0027344
20,0.0004893999999999,0.0112373999999999,0.0056773999999999
20,0.0002317,0.0004707,0.0019691999999998
20,0.0004072999999999,0.0008319000000001,0.0024496999999998
20,0.0004290999999998,0.0155981,0.0061249999999999
20,0.0003528999999999,0.0006234,0.0026186999999999
20,0.0002314000000001,0.0008545000000002,0.0014258
20,0.0003830999999998,0.000601,0.0047823999999998
20,0.0003709,0.0008207999999998,0.0057101000000001
20,0.0003026999999999,0.0119123999999999,0.0019423
20,0.0005863999999999,0.0102963999999998,0.0048478999999999
20,0.0002853999999998,0.0010235,0.0042427
20,0.0006215999999998,0.0015408999999999,0.0043136999999999
20,0.0002619999999999,0.0121151000000001,0.0023063
20,0.0005484999999998,0.0094012000000001,0.003919
20,0.0002759999999999,0.0127918999999998,0.0016172999999999
20,0.0009397999999998,0.0144226,0.0031537999999999
20,0.0004015000000001,0.0115076,0.0029049
20,0.0002716,0.0123876,0.0027582999999999
20,0.0004439,0.0009465000000001,0.0064773999999998
20,0.0003737999999999,0.0008593999999999,0.0032111999999999
20,0.0003505999999999,0.0117941999999999,0.0021451999999999
20,0.0003076999999997,0.0007624999999999,0.0030204999999998
20,0.0003159999999999,0.0006379999999999,0.0027723000000001
20,0.0003641999999999,0.0007848999999999,0.0019194
20,0.0006135999999998,0.0009284,0.0052340000000001
20,0.0004163999999999,0.0113357999999998,0.0048143
20,0.0003330000000001,0.0009488000000001,0.0026110999999999
20,0.0003162999999999,0.0008943999999999,0.0015018999999998
20,0.0006265,0.0007430999999999,0.0061286
20,0.0004245,0.0093115999999999,0.0043878000000001
20,0.0003247000000001,0.0009510999999999,0.0020606999999999
20,0.0003796999999998,0.0005707999999999,0.0025542999999998
20,0.0004302,0.0093649,0.0056863
20,0.0002421999999999,0.0130468000000001,0.0020332
20,0.0003584999999999,0.0138867,0.0034450999999999
20,0.0002851999999999,0.0011474,0.0015280999999998
20,0.0010633999999998,0.0100173999999999,0.0061004
20,0.0007840999999999,0.0103835999999999,0.005549
20,0.000197,0.0004173999999999,0.0022892999999999
20,0.0004633999999998,0.0123678,0.0086119
20,0.0004992999999999,0.0010225000000001,0.0024300999999999
20,0.0005453999999998,0.0114197,0.0043528999999999
20,0.0005896999999999,0.0085376999999999,0.0021879999999998
20,0.0003455999999999,0.0009432,0.0027513999999999
20,0.0005332,0.0008649999999998,0.0026059
20,0.0005860000000001,0.0007859000000001,0.0035466000000001
20,0.0003592999999999,0.0114353,0.0027279
20,0.0002557999999999,0.0005383000000001,0.0011946999999998
20,0.0002678,0.0125125999999999,0.0013084999999999
20,0.0004976,0.0134497,0.0056057999999998
20,0.0005234,0.0011358000000001,0.0050928999999999
20,0.0001197000000001,0.0002259,0.0013954
20,0.0004442,0.0010718999999999,0.0034314000000001
20,0.0001515999999999,0.0005648,0.0019787
20,0.0004535999999999,0.0008801,0.0036228
20,0.0003271,0.0007905999999999,0.0039915000000001
20,0.0003226999999998,0.0111190000000001,0.0028039999999998
20,0.0003722999999999,0.0136944000000001,0.0014970999999999
20,0.0004831,0.0129773999999998,0.0048131
20,0.0001672000000001,0.0004248,0.0029030999999999
20,0.0003945,0.0106420999999998,0.0026759
20,0.0006798999999999,0.0017332000000001,0.0057222000000001
20,0.0004365999999997,0.0141223999999999,0.0023146999999998
20,0.0006315000000001,0.0012392999999999,0.0065003999999999
20,0.0003748999999999,0.0142210999999998,0.0027166999999999
20,0.0008612000000001,0.0164581999999999,0.0054931999999998
20,0.0003538,0.0088817999999999,0.0055742999999999
20,0.0006454,0.0090401999999998,0.0058819999999999
20,0.0006843,0.0082402999999999,0.0070178
40,0.0015922000000001,0.1056867999999999,0.0432088000000001
40,0.0023368999999999,0.0041326999999999,0.0452662999999999
40,0.0015,0.0034214000000001,0.0580042999999996
40,0.0016349999999998,0.0030247999999999,0.0472403999999997
40,0.0023954000000001,0.0554016000000001,0.040934
40,0.0008889,0.0017746999999999,0.0517666999999999
40,0.0019511000000003,0.0028177,0.0549965999999999
40,0.0013117999999998,0.1034139,0.0393832
40,0.002672,0.079094,0.0495328999999999
40,0.0020178999999997,0.0741048000000001,0.0465081
40,0.0016977999999996,0.0823936999999999,0.0372821999999999
40,0.0020408999999999,0.0033880000000001,0.0574338
40,0.0037226999999999,0.0623352000000001,0.0692125999999997
40,0.0023587000000002,0.0662862000000004,0.0498346
40,0.0013163999999998,0.0022504999999997,0.0538495000000001
40,0.0018389999999999,0.0882518999999999,0.0593802000000001
40,0.0022131,0.0032830000000001,0.0549851999999999
40,0.0025877999999996,0.0983512999999995,0.0456821
40,0.0023225999999998,0.0033784000000003,0.0741306000000001
